Name,Supplier ID,Phone,Address,Email Address,Group
Advanced Business Technology,11403,+974 4460 0262,P.O. Box: 10250,it@abtqa.com,10
Qatar Primary Materials Company,11404,+974 4447 9411,P.O. Box: 22095,info@qpmc.qa,39
Firows Hospitality Cleaning W.L.L,11405,+974 4017 8992,P.O. Box: 57798,info@firowshopitality.com,10
Universal Production,11406,+974 4452 7988,P.O. Box: 27111,info@uniproduction.com,10
Imax Trading & Contracting W.L.L,11407,+974 5050 9344,P.O. Box: 11074,imaxqatar@gmail.com,10
TalentCity Trading & Contracting,11408,+974 4450 6051,PO.Box.30052,info@talentcity.me,10
Gar Waterproofing & Bitumen Factory,11409,+974 4444 9763,P.O. Box: 1421,m.sbaih@qarqa.com,10
Unipro Qatar,11410,+974 4451 3301,P.O. Box:23910,unipro.qatar@unipro-qatar.com,10
Karas Qatar Trading and Contracting W.L.L,11411,+974 4431 9267,P.O.Box: 1175,info@karasqatar.com.qa,10
Gulf Ceramic,11412,+974 4468 4200,P.O. Box: 22976,info@gulfceramic.com,10
Enteq Trading and Contracting,11413,+974 4478 5200,P.O. Box: 31209,info@dohaenergy.qa,10
Doha Technical Laboratories,11414,+974 4460 7508,P.O. Box: 40462,info@dtl.com.qa,10
Green Waste Managment Sewerage Services L.L.C,11415,+974 4411 2260,P.O. Box: 33127,info@greenwaste.qa,10
MEAC Water Systems Co.,11416,+974 4421 5295,P.O. Box: 32101,ashaker@meacqatar.com,10
Deco-Tech Metal Profile Factory,11417,+974 4460 4337,P.O. Box: 11218,kamal@decotechqatar.com,10
Safe and Secure Trading W.L.L,11418,+974 4431 3107,P.O. Box: 82178,info@sastrading.net,10
We Serve Trading & Contracting W.L.L,11419,+974 4444 0969,P.O. Box: 15194,weserve@qatar.net.qa,10
Bardwil Specialities Qatar,11420,+974 4469 9436,P.O. Box: 24044,info@bardawil-qatar.com,10
Dubai Lights,11421,+974 4481 8471,P.O. Box: 82936,info@dubai-lights.com,10
Al Khaleej Modern Lights,11422,+974 4437 3604,P.O. Box: 10299,alkhaleejmathew@hotmail.com,10
Oasis Used Cars,11423,+974 4431 2828,PO.Box: 14702,sales@oasiscars.com,10
Al Mana Motor Company,11424,+974 4448 9922,P.O. Box: 491,info.aa@almanagroup.com,10
Excel Trading W.L.L,11425,+974 4442 3435,P.O. Box: 4725,jean.sales.doha@excelintgroup.com,10
Blutronic Trading,11426,+974 4465 3238,P.O. Box: 201531,eepen@blutronic.com,10
Qatari Canadian for Energy & Electrical Industries,11427,+974 4481 3602,P.O. Box: 96302,info@qce-qatar.com,10
IT Cloud Trading and Programming WLL,11428,+974 7764 2470,P.O. Box: 17854,waqar@itcloud.qa,10
Seashore Panel Factory,11429,+974 4436 1241,P.O. Box: 41100,mkd1@sppqatar.com,10
Bin Al Sheikh Rebar Factory,11430,+974 4450 6274,P.O. Box: 13321,thomas@binalsheikh.com,10
Versalles Trading & Contracting Est.,11431,+974 5067 6214,P.O. Box 19743,-,10
Zainal Electronic Centre,11432,+974 4443 3391,P.O. Box: 10657,saleszecdoha@gmail.com,10
Watermaster Qatar W.L.L,11433,+974 4444 2494,P.O. Box: 39364,rroman@watermasterqatar.com,10
Spectrum Industries W.L.L,11434,+974 4469 0421,P.O. Box: 201636,sales@spectrumgulf.com,10
Susin Qatar Trading & Contracting W.L.L,11435,+974 4493 4822,P.O. Box: 220,info@susinqatar.com,10
Ronautica Middle East,11436,+974 4409 5279,P.O. Box: 7256,hmo@ronauticame.com,10
Al Raeda Consultancy & Quality,11437,+974 4496 2561,P.O. Box: 75031,sales@alraeda.qa,10
Print Shop,11438,+974 4429 2900,P.O. Box: 13591,info@printshop.qa,10
Al Wajba Motors,11439,+974 4411 1102,P.O. Box: 17444,aftersales@alwajbamotors.com,10
Arabi Company - Qatar W.L.L,11440,+974 4469 6841,P.O. Box: 22096,sameeh.dawud@arabiqatar.com,10
Nuserv DMCC,11441,+971 4514 4607,Unit No: RET-R5-14 Detached Retail R5,asowinska@protenders.com,10
Zoom Trading W.L.L,11442,+974 4411 9138,P.O. Box: 31130,-,10
Cruise Marine for Ships W.L.L,11443,+974 6690 4440,P.O. Box: 21431,cruisemarine.qatar@gmail.com,10
Cambridge Trading & Services,11444,+974 4432 2203,P.O. Box: 23986,info@cambridgeqatar.com,10
Dextra Manufacturing Co. Ltd.,11445,+66 0 2021 3800,"5th Floor, Lumpini II, Building 247",,10
JSL Global,11446,+974 4485 0653,P.O. Box: 55502,commerical@jsl-global.net,10
Doka Qatar W.L.L,11447,+974 4450 0628,P.O. Box: 23439,qatar@doka.com,10
Leminar Global Distribution & Services W.L.L,11448,+974 4467 3755,P.O. Box: 3841,infoqatar@leminar.net,10
Qatar Pipeline & Fittings Co. W.L.L,11449,+974 4460 3773,P.O. Box: 40290,enquiry@qaddcoqatar.com,10
Amiantit Qatar Pipes Co. Ltd.,11450,+974 4411 4873,P.O. Box: 40194,aqap@qatar.net.qa,10
Al Athbi Trading Group WLL,11451,+974 4483 3505,P.O. Box: 1728,info@alathbi.com,10
Nemer Metal Industries Factory,11452,+974 4432 9991,P.O. Box: 23229,info@nemermetal.com,10
Doha Cables Qatar W.L.L,11453,+974 40339596,P. O. Box: 22487,info@dohacables.com,10
Uniplast Co. W.L.L.,11454,+974 4443 1458,P.O. Box: 8875,shahid.uniplast@gmail.com,10
Laffan Trading and Contracting,11455,+974 4432 9738,P. O. Box: 6363,sales@laffantrading.com,10
Qatar International Electrical Co.,11456,+974 4450 1119,P. O. Box: 24560,sales@qiecoqatar.com,10
Mohamed Q.Al Guthmi Sons Co.,11457,+974 43011 2602,,,10
Masa Cleaning Co. W.L.L,11458,+974 4005 4300,P. O. Box,info@masaqatar.com,
Petrogold Trading & Contracting Co. W.L.L,11459,+974 4463 1277,P. O. Box: 200360,sales@petrogoldservices.com,10
Atlantis International Contracting W.L.L,11460,+974 7754 8899,P.O. Box: 96159,infoatlantis007@gmail.com,10
Nasrallah Trading Est.,11461,+974 4458 3211,P.O. Box: 118,-,10
Play and Learn,11462,+974 4005 2600,P.O. Box: 3604,info@playandlearn.qa,10
Buildware Trading Co.,11463,+974 4412 6978,P.O. Box: 80115,laijubuildware@gmail.com,
Ciko Middle East,11464,+974 4411 4787,P. O. Box: 295,aline.bahou@clkome.come,10
Tripon Star Trading & Contracting,11465,+974 4478 1630,P.O. Box: 11872, info@triponstar.com,10
Cozmo Travel,11466,+974 4436 9444,P.O. Box: 35380,info-qatar@cozmotravel.com,10
Power Shoes Trading Co.,11467,+974 4477 5964,P.O. Box: 14774,info@extreme-toy.com,10
Family Computers,11468,+974 4432 4070,P.O. Box: 14337,sales@fccqatar.com,10
Almoe AV Solutions W.L.L,11469,+974 4491 3102,P.O. Box: 96375,santhosh.kumar@almoe.com,10
Alabama Trading,11470,+974 6622 2781,P.O Box: 220045,sales@alabama.qa,10
Grand Store Trading and Contracting,11471,+974 4411 3220,P.O Box: 96126,info@gstc.com.qa,10
Computer Plus,11472,+974 4442 8713,P.O Box: 32435,Info@cplus-qatar.com,10
4K Building Materials,11473,+974 4460 4101,PO Box: 5187,info@4kbm.com,10
Anton Nehmeh Establishment,11474,+974 4434 3000,PO Box: 99,nehmeh.sapb1@nehmeh.com,10
Doha Petroleum Construction Co. LTD.,11475,+974 4460 0350,P.O Box: 1744,Pramod.Joseph@rapidaccess-gulf.com,10
Fix and Fit Trading & Contracting W.L.L,11476,+974 4436 6137,P.O Box: 2621,info@ffgroupqatar.com,10
Abdulla Almotawa Law Firm,11477,+974 4477 5730,PO Box: 9956,Abdulla@almotawalawfirm.com,10
Teyseer Trading and Contracting,11478,+974 4456 8055,P.O Box: 1556,b.vijayabalan@teyseergroup.com,10
Guide US TV,11479,7039699750,P.O Box: 3432,contact@guideus.tv,10
AL-AWALIA,114798,+974 4401 6413,P.O Box 22095,sales@qpmc.qa,10
Kdhaz Trading,11480,+974 7725 2313,P.O Box: 30268,kdzqatar@gmail.com,10
Seas & Deserts,11481,+974 4431 9799,"Porto Arabia Parcel 12, Unit 285",asuliman@seadesert.com,10
Qatar Factory For Fire Fighting Equipment,11482,+974 4402 5888,P.O Box 55644,info@qatarfactory.qa,10
Moore Stephens and Partners,11483,+974 4443 6156,P.O Box 17085,-,10
Unilock Block Factory,11484,+974 4414 0651,P.O Box: 12962,abdulla@unilockfactory.com,10
Zyklus Trading,11485,+974 4444 8852,P.O Box: 14965,info@zyklus.qa,10
Insasoft,11486,+974 5526 8733,P.O Box: 20406,info@orangeqatar.com,10
Quality Power Busbar Trading,11487,+974 4402 397,,info@q-bars.com,10
GoDo Delivery,11488,+974 4017 2672,P.O Box: 55533,accounts@godo.com.qa,10
Agbizz Trading and Engineering Services,11489,+974 4431 2602,P.O Box: 45729,retail@agbizz.com,10
Gulf Additive Factory,11490,+974 4416 9957,P.O Box: 2050,gaf@gafqatar.com,10
Media Solutions,11491,+974 4426 7509,P.O Box: 32522,Salesc@mediasolutionsmena.com,10
The Marine Place,11492,+974 4411 5151,,info@themarineplace.com,10
Royal Yacht Marine,11493,+974 6667 6915,P.O Box: 20280,info@royalyacht.qa,10
Qatar International Automobiles Co,11494,+974 4450 3930,P.O Box: 8155,mansales@manqatar.com,10
Styro Enterprises,11495,+974 4477 0649,,info@styre.qa,10
FTC Qatar,11496,+974 4443 3939,P.O Box: 6255,info@ftc-qatar.com,10
Al Dehleez Trading & Contracting,11497,+974 44513773,P.O Box: 24927,bala.p@dehleeztrading.com,10
Family Medical,11498,+974 4436 5489,P.O Box: 15193,feedback@fpgqatar.com,10
Faaf Consultants (Private) Limited,11499,+92 303750 2798,57B Furniture Market,,10
Awazel International Qatar,11500,+974 4442 0571,P.O Box: 31741,infoqatar@awazel.com,10
Euro Art Trading WLL,11501,+974 4490 7530,P.O Box: 6216,qatar@euro-art.co.uk,10
Middle East Merchants,11502,+974 4431 0540,P.O Box: 23395,admin@memqatar.com,10
Gulf Plant Trading & Contracting,11503,+974 4415 1743,P.O Box: 212064,info@gulfplantqatar.com,10
Lusail City Company,11504,+974 4497 7775,P.O Box 26060,info@lusail.com,10
"Simsima Tiles, Blocks & Interlock Factory",11505,+974 4450 9303,P.O Box: 3082,zenaida@simsimacement.com,10
Mavi Deniz Cevre Hizmetleri A.S,11506,+90 216 987 07 17,Bagdat cd Yeni Türkü Sk No: 12 Güzelyal,sales@mavideniz.com.tr,10
Tahara Trading,11507,+974 3383 9844,P.O Box: 201475,info@taharatrading.com,10
Oriental Trading Company,11508,+974 4442 5678,P.O Box 96,info@otcqatar.com,10
Signtrade,11509,+974 4436 3136,P.O. Box: 32008,doha@signtradeonline.com,10
Art Beton Contracting & Trading,11510,+974 3384 1110,P.O Box: 19115,artbetonq@gmail.com,10
Fence Industries Trading,11511,+974 4001 0622,P.O Box: 45631,fence@fenceindustries.com,10
Trans Gulf,11512,+974 4443 6433,P.O. Box: 5844,transgulf@transgulf.com.qa,10
Kangli Stone Co. Ltd. Nanan Shuitou,11513,+974 4436 6902,P.O. Box: 24830,hao.kanglistore@gmail.com,10
Acrylic Factory,11514,+974 4435 5113,P.O. Box: 10228,info@acrylicqatar.com,10
Doha Seagull Trading W.L.L.,11515,+974 3055 1689,P.O. Box: 45046,info@seagullmarine.qa,10
Aqua Tanks,11516,+974 3376 2451,P.O. Box: 13061,info@aquatanks.net,10
Nasser Bin Khaled Ready Mix Factory,11517,+974 4490 1915,P.O. Box: 6002,shady@nbkreadymix.com,10
Alwan Marble & Granite Factory,11518,+974 5575 1684,P.O. Box: 40664,cmg-qatar@hotmail.com,10
Al Sabea for Ready Mix and Blocks,11519,+974 4492 2452,P.O. Box: 82614, eenriquez@sabeagroup.com.qa,10
Trouvay & Cauvin Trading and Services LLC,11520,+974 4434 2402,P.O. Box: 2117,info@trouvaycauvin.com,10
Al-Asema Building Materials & Trading,11521,+974 4442 3777,P.O. Box: 3147,info@capital-qatar.com,10
Al Obeidly & Gulf Eternit Trading Co. W.L.L.,11522,+974 4465 1619,P.O Box: 1965,s.sajin@alobeidly.com,10
Startech Middle East,11523,+974 4465 1732,P.O. Box: 205415,support@startechsys.net,10
Metallic Equipment Co. L.L.C.,11524,+974 4444 6336,P.O Box: 18386,nabil@metallic.qa,10
Weltech Vision Trading Co. W.L.L.,11525,+974 4436 1268,P.O. Box: 15730,weltech.haris@gmail.com,10
Al Sultan Custom Clearance & Freight Est.,11526,+974 4441 3322,P.O. Box: 35456,alsultan72@yahoo.com,10
Confident Enterprises W.L.L.,11527,+974 4413 4488,P.O. Box: 3193,info@confidententerprises.com,10
Aamal Readymix W.L.L.,11528,+974 4460 3939,P.O. Box: 40557,sales@aamalreadymix.com,10
Diwan Al Emara W.L.L.,11529,+974 4483 3195,P.O. Box: 22235,info@diwanalemara.com,10
Four Color Printing Press,11530,+974 4467 0480,P.O. Box: 55509,info@qatar4color.com,10
Blanc Studio Interiors,11531,+974 5040 5193,P.O. Box: 14023,hajaradwaaan@gmail.com,10
QD-CPC Ready Mix,11532,+974 4430 9000,P.O. Box: 32535,ukhader@qd-cpc.com,10
QL Line,11533,+974 7077 4412,P.O. Box: -,project.manager@qatarline.qa,10
Salco Trading & Contracting Company,11534,+974 4441 1410,P.O. Box: 992,mathewsales@salcoqatar.com,10
Electro Trade Co. W.L.L.,11535,+974 4035 2222,P.O Box: 856,emad.ghasoub@aabqatar.com,10
Nabina Ceramic,11536,+974 4429 9999,P.O. Box: 130,noushad.payyariyil@nabinaholding.com,10
Doha Gratings & Metal Works WLL,11537,+974 4451 0346,P.O. Box: 40137,afsar@dohagratings.com,10
Light House Electrical W.L.L.,11538,+974 4421 0668,P.O. Box: 1994,lighthouseelectricwll@gmail.com,10
Almoayyed Air Conditioning,11539,+974 4432 2217,P.O Box: 24963,sibin@almoayyedac.com,10
Tesla International Group Trading & Cont. W.L.L.,11540,+974 4414 3966,P.O. Box: 80530,sales.tesla@tig.qa,10
Al Kuwaiti Stores W.L.L.,11541,+974 4434 2958,P.O. Box: 31493,sales@alkuwaitistores.com,10
Aquaplex Trading WLL,11542,+974 4488 5711,P.O. Box: 82953,billing@aquaplex.me,10
Becon Trading & Contracting W.L.L.,11543,+974 4455 2022,P.O. Box: 37312,niyas@becon.com.qa,10
Al Mahya Trading and Contracting,11544,+974 5598 2088,P.O. Box: 4610,almohtrd@hotmail.com,10
Al Bena for Electro-Mechanical Works,11545,+974 3398 9482,P.O. Box: 25147,info@albenaqatar.com,10
Al-Sehmiah Cement Products,11546,+974 4450 9900,P.O. Box: 24052,contact@alsehmiah.com,10
Hany Tawfik Consulting Office,11547,+974 4483 3246,P.O. Box: 13654,a.rashid@htco-qatar.com,10
Sodamco Qatar W.W.L.,11548,+974 4442 3816,P.O. Box: 22520,Roberto.Bejjani@saint-gobain.com,10
IMAR Trading & Contracting Co. WLL,11549,+974 4413 1770,P.O. Box: 22403,info@groupimar.com.qa,10
Doha Regional Plastic Solutions,11550,+974 4436 6244,P.O. Box: 40613,muneer@drps.com.qa,10
Arabian Specialised Materials WLL,11551,+974 4421 3636,P.O. Box: 55289,Hassib@asmaqatar.com,10
National Paints Factories Co. W.L.L.,11552,+974 4460 1602,P.O. Box: 40544,sales.sec@npfqatar.com,10
Al-Adraj Building Materials Est.,11553,+974 4469 1300,P.O. Box: 23789,m-elshaial@aladrajqatar.com,10
Alrayyan Juniors Trading Steel,11554,+974 4466 3498,P.O. Box: 90445,info@alrayyantc.com,10
Qatar Automobile Company W.L.L.,11555,+974 4422 7555,P.O. Box: 1290,-,10
Qatar Manlift Company W.L.L.,11556,+974 4441 5157,P.O. Box: 202278,info@qatarmanlift.com,10
Sanilux W.L.L,11557,+974 4441 7800,P.O. Box: 23391,info@sanilux.com.qa,10
Vodafone Qatar,11558,+974 4482 0300,P.O. Box: 24296,najeebvaran.kiyil@dsq.qa,10
UAQ Safety Training Centre,11559,+974 4029 8968,P.O. Box: 24570,hadiezz@uaq.qa,10
Al Waab Plastics Factory,11560,+974 4465 5181,P.O. Box: 14918,info@alwaabplastics.com,10
Marazeem Security Services,11561,+974 4431 7408,P.O. Box: 30205,noel@marazeemqatar.com,10
DSI Middle East W.L.L.,11562,+974 4458 0411,P.O. Box: 24893,tamer.ismaiel@dsi-middleeast.net,10
Carrier Solutions Contracting and Trading and Serv,11563,+974 4431 0555,P.O. Box 23500,abdulaziz.awida@carrier.com,10
Qatar Rockwool & Mineral Fibers Factory,11564,+974 4441 0026,P.O. Box: 202086,sales@qatarockwool.com,10
Management Solutions International,11565,+974 4416 2762,P.O. Box 47613,suhail@themsigroup.com,10
PTC Project Supplies W.L.L.,11566,+974 4427 7181,P.O. Box 35323,sales.qtr@ptcprojects.com,10
Almuftah Trading & Contracting Co. W.L.L.,11567,+974 4411 4325,P.O.Box. 875,almuftah@almuftah.com,10
Kfilter Manufacturer W.L.L,11568,+974 4443 7572,P.O.Box. 21739,sales@kfilterglobal.com,10
Crystal Stainless Steel,11569,+974 6657 7750,P.O.Box. 214105,hamsan@crystalstainlesssteel.com,10
Dorman Smith Switchgear W.L.L.,11570,+974 4038 6122,P.O.Box. 40249,dsqatar@dormansmithswitchgear.com,10
TS Qatar Systems & Communications W.L.L.,11571,+974 4436 4001,P.O.Box. 24699,shafni@tsqatar.com,10
Pipes Technology Co. W.L.L.,11572,+974 4481 3130,P.O.Box. 23783,info@pipestech.com,10
Al-Feroz Int'l Trading W.L.L.,11573,+974 4432 1909,P.O.Box. 22613,sami@alferozqatar.com,10
Kingfisher Trading & Contracting Company,11574,+974 4431 6996,P.O.Box. 31841,info@kingfisherqatar.com,10
PETRO-Q,11575,+974 4033 8861,P.O.Box. 4404,aashik@petro-q.com,10
Test and Measurement Solutions Co. W.L.L.,11576,+974 4442 1062,P.O. Box: 16052,tnm_admin@tnmsolutions.qa,10
Kasimy Trading & Building Materials WLL,11577,+974 4444 0295,P.O. Box: 2823,market@kasimy.com,10
Il Fiore Rosso Trading & Decoration,11578,+974 4488 0226,P.O. Box: 200824,info@ilfiore-rosso.com.qa,10
Eva Interior Fitouts,11579,+971(4)3116632,P.O. Box: 73310,sales@evainteriors.ae,10
Automan Scrap and Garage,11580,+974 7777 6092,-,info@automan.com,10
Newtech Eng. & Trd. W.L.L.,11581,+974 4431 1063,P.O. Box: 6193,sales@newtechqatar.com,10
Safety & Tools Trading & Building Materials,11582,+974 4005 7000,P.O. Box: 10805,a.alhalabieh@satbm.com,10
United Architects Consultant for Architecture,11583,+974 4421 4819,P.O. Box: 14326,info@uarc.net,10
Sanipex Qatar,11584,+974 4438 0200,P.O. Box: 16450,sandeep@sanipexgroup.com,10
Al Wataniya Concrete W.L.L.,11585,+974 4483 8751,P.O. Box: 24381,cezar@watancon.com,10
Popular Electricals and Trading Co. WLL,11586,+974 4431 0026,P.O. Box: 21084,sales@popularqatar.com,10
Al Messila Resort & Spa,11587,+974 4445 0000,P.O. Box: 970,amer.jaafar@luxurycollection.com,10
Altura Factory W.L.L.,11588,+974 4490 1003,P.O. Box: 96143,sales@alturaindustries.com,10
Sea Prince Trading W.L.L.,11589,+974 4480 9161,P.O. Box: 30498,sales@seaprinceqatar.com,10
Oryx Marble & Granite,11590,+974 4415 4386,P.O. Box: 17982,info@oryxmarble.qa,10
Doha Pools & Landscape W.L.L.,11591,+974 4007 0962,P.O. Box: 854,doha.landscape@yahoo.com,10
Industrial Cable Management Systems Co. W.L.L.,11592,+974 4450 0798,P.O. Box: 22108,biju@icmstray.com,10
Eventival Planners,11593,+974 7026 0268,P.O. Box: 8990,sarah@eventivalplanners.com,10
Cummins Qatar LLC,11594,+974 4453 3777,P.O. Box: 201710,subin.pillai@jaidah.com.qa,10
Petraco Trading and Contracting,11595,+974 4476 9954,P.O. Box: 7447,info@petraco.qa,10
Zynax Trading and Contracting W.L.L.,11596,+974 7023 2424,P.O. Box: 16426,sales@zynaxgcc.com,10
Brymax Lighting,11597,+974 5080 1666,P.O. Box: 201636,bd@brymaxglobal.com,10
Sydney General Trading and Contracting,11598,+974 6626 3398,P.O. Box: 2291,info@sydneyqatar.com,10
Profile Corporation,11599,+974 4441 2954,P.O. Box: 30182,sales@profilecorporation.com,10
Lamha Trading Co.,11600,+974 4478 1878,P.O. Box: 2818,lamhatrading@gmail.com,10
Hira W.L.L.,11601,+974 4467 6046,P.O. Box: 31179,p.aurelio@hiraqatar.com,10
S.B.K. Projects W.L.L.,11602,+974 4435 4644,P.O Box: 22147,dani@sbkprojects.com,10
Global Survey,11603,+974 4458 3283,P.O. Box: 319,moustafa@globalsurvey-qatar.com,10
Poomas Ledea Trading WLL,11604,+974 4039 0367,P.O. Box: 13137,poomasqatar@gmail.com,10
Acontec Engineering W.L.L.,11605,+974 4442 8256,P.O. Box: 23143,trading@aconengg.com,10
Artcorp Int'l.,11606,+974 4450 6660,P.O. Box: 3971,admin@artcorpintl.com,10
Qatar Oilfield Supply Center W.L.L.,11607,+974 4460 6547,P.O. Box: 15795,joelito@qataroilfield.com,10
Apollo Enterprises,11608,+974 4469 3334,P.O. Box: 2032,alim.islam@apollo-scaffolding.com,10
Architectural Avenue Trading and Services W.L.L,11609,+974 4404 7769,P.O. Box: 82863,a.ahmed@architecturalavenue.com,10
Asia Electro. Mechanical Co. W.L.L.,11610,+974 4435 7740,P.O. Box: 23556,quotation01@asiaqatar.com,10
Sterling Trading Co. W.L.L.,11611,+974 4431 2248,P.O. Box: 41228,info@sterlingtrading.qa,10
Manateq Economic Zones Qatar,11612,+974 4032 3333,P.O. Box: 29000,-,10
Tool World Trading W.L.L.,11613,+974 4442 7293,P.O. Box: 96255,ashoora@toolworldqatar.com,10
One Touch Trading & Services W.L.L.,11614,+974 4443 6016,P.O. Box: 37175,info@onetouchqatar.com,10
Braga S.p.a.,11615,+39 0375 - 091031,P.O. Box: 51,export@braga.it,10
Electrical Vision Trading L.L.C.,11616,+974 4029 2483,P.O. Box: 12381,prasad@electricalvision.com.qa,10
Uniform Specialist,11617,+974 4493 4202,P.O. Box: 21127,uniformspdoha@gmail.com,10
Officine Gullo S.r.l.,11618,+39 055 656 0324,P.O. Box: 50012,a.fusi@officinegullo.com,10
Diamond Professional Trading & Contracting,11619,+974 4435 0142,P.O. Box: 23907,info@diapro.com,10
Acoustic Design Firm Consultancy W.L.L.,11620,+974 4429 4992,P.O. Box: 17234,info@adf-ltd.com,10
Alsarf Trading & Contracting Co. W.L.L.,11621,+974 4466 5851,P.O. Box: 13333,info@alsarf.com.qa,10
FD Consult,11622,+974 4468 8450,P.O. Box: 55460,info@fdconsult.qa,10
Manlift Qatar WLL,11623,+974 4411 6891,P.O. Box: 23135,qatar@manliftgroup.com,10
Gebal Group W.L.L.,11624,+974 4039 2605,P.O. Box: 14156,youssef@gebalgroup.com,10
Wasa International Limited,11625,8.6133E+12,"Flat A, 30/F, Tower 1",1148568785@qq.com,10
Al-Dhow General Trading Contracting Company W.L.L.,11626,+974 4441 9862,P.O. Box: 22403,m.rasho@al-dhow.com,10
Maroon Homes Contracting,11627,+974 7004 5537,P.O. Box: 301321,riz@maroonhomes.com,10
Abensal Lighting,11628,+974 4016 4866,P.O. Box: 96069,sameel@abensal.com,10
Al-Majd Consulting Engineering Co. (W.L.L.),11629,+974 4468 3943,P.O. Box: 91378,info@almajdconsultancy.com,10
Deekar Heavy Equipment Rental,11630,+974 7725 0841,P.O. Box: 2454,deekarheavyequipment@gmail.com,10
Al Rabat Building Contracting Co.,11631,+974 4029 8627,P.O. Box: 18230,m.batran@alrabat-group.com,10
United Supplies Company W.L.L.,11632,+974 4471 5352,P.O. Box: 23353,khaledh@unitedsuppliesqatar.com,10
Fischer Fasteners QD Trading WLL,11633,+974 5060 4111,P.O. Box: 35190,sameer.rafeek@fischer.qa,10
Zegoret Trading & Contracting,11634,+974 5585 3725,P.O. Box: 16097,info@ziggurat-qa.com,10
Top Hygiene Hospitality and Cleaning Services,11635,+974 3002 6100,P.O. Box: 21423,vinod.tophygiene@gmail.com,10
Faisal Alshammary Contracting,11636,+974 55076593,P.O. Box: 29222,info@alshammary.store,10
Sika Qatar LLC,11637,+974 4016 3358,P.O. Box: 201847,hamad.khaled@qa.sika.com,10
Rafale Trading Co.,11638,+974 4466 5590,P.O. Box: 10111,basil@rafaleqatar.com,10
Rose House Contracting Co.,11639,+974 6649 8646,P.O. Box: 63845,rosehouse.co@gmail.com,10
Construction Material Trading Company,11640,+974 4413 1770,P.O. Box: 32321,a.cruz@cmtc.com.qa,10
Seagull HVAC Industry W.L.L.,11641,+974 3119 3043,P.O. Box:,awais.khan@seagullhvac.qa,10
Sherle Wagner International,11642,212-758-3300,100 DORRANCE STREET,zena.matar@sherlewagner.com,10
Raneen Energy Trading & Construction Co.,11643,+974 4447 1417,P.O. Box: 301377,raja@raneen.energy,10
Nutec Enterprises  W.L.L,11644,+974 3378 0645,P.0.Box : 8069,sales2@nutec-ent.com,10
Green Real Estate,11645,+974 4477 2422,P.O. Box: 10460,info@green-re.qa,10
Control Electronics and Electrical Trading Co. WLL,11646,+974 4001 2112,P.O. Box 20531,controlelectronicsqatar@gmail.com,10
Go Global Trading & Services,11647,+974 6667 5433,-,sales@goglobalqatar.com,10
Superior General Trading & engineering WLL,11648,+974 44500142,-,,10
AMAR CERAMICS TRADING W.L.L,11649,+974 7754 6559,P.O. Box : 13228,info@amarceramics.com.qa,10
Seero Engineering Consulting LLC,11650,+974 4486 6821,P.O. Box: 201257,info@seeroeng.com,10
Qatar Industrial Laboratories W.L.L.,11651,+974 4460 1580,P.O. Box: 10415,qil@qilqatar.com,10
Pluton Advertising Company WLL,11652,+974 4418 2009,P.O. Box: 17786,sales@plutontech.com,10
TraffiConsult,11653,+974 4436 1814,P.O. Box 31451,info@trafficonsult.com,10
Roche Bobois,11654,(+974) 4021 2040,PO Box 363,doha@roche-bobois.com,10
Everest Trading & Contracting Wll,11655,+974 3039 7175,,salesetcqatar@gmail.com,10
Advance Construction Technology Services,11656,+974 44882053,-,infoqatar@acts-int.com,10
Safana United Trading Company,11657,+966 539257100,Dammam Al Adamah,Kamal@safanaonline.co,10
Hi-Tech for Metal Products,11658,+974 4450 2467,P.O. Box: 40467,info@hightechmetalqatar.com,10
Sentor Electrical WLL,11659,+974 4415 4502,P.O. Box 82335,qatar@sentoelectrical.com,10
Al-Shark Sanitary Ware Co. W.L.L.,11660,+974 4444 3663,P.O. Box: 4595,shark4595@yahoo.com,10
Alrayyan Fire Systems,11661,+974 4432 9607,P.O. Box: 15494,alrayyanfiresystems.com,10
Paramount Trading Company WLL,11662,+974 4468 8335,P.O. Box: 35136,sales6@paramountqatar.com,10
Anvil Engineering Services & Trading,11663,+974 7100 9929,-,info@anvilengineering.qa,10
Arctic Cooling Company,11664,+974 4468 5844,P.O.Box: 45657,arctic@accqatar.com,10
LIBERTY HOUSE W.L.L,11665,+974 4431 3512,-,lhq.electronics@gmail.com,10
Al Hamad Automobiles W.L.L.,11666,+974 44510606,P.O Box: 31531, info@alhamadautomobiles.com,10
iFurniture,11667,+974 4001 6444,-,doha@gautier.qa,10
Bahar Contract Lighting,11668,+90 312 351 76 86,"Susuz, Istanbul Yolu 26. Km, 06980 Yenimahalle",bahar@baharlighting.com,10
Sports Village,11669,+974 4450 1166,P.O.Box: 45101,info@sportsvillageqatar.com,10
Kitchen Plus W.L.L.,11670,+974 4466 3566,P.O.Box: 3678,info@kitchenplus.qa,10
Aruva Distributions & Trading W.L.L.,11671,+974 4001 3490,P.O.Box: 12617,info@aruvadistributions.com,10
ConQueri,11672,+974 7781 1468,-,info@conqueri.com.qa,10
CMS Trading,11673,+974 4145 2900,15480,info@cmsqatar.net,10
Mubeenco Trading,11674,+974 4431 7567,-,mubeencotrading@yahoo.com,10
Polisandro Marble for Trading & Serives,11675,+974 4037 3168,P.O.Box: 3146,info@polisandro-qa.com,10
